cph,easting,northing,cattle,pigs,sheep,goats,deer
30/621/9194,411500,556900,3,24,1,0,0
30/688/66,432100,572400,30,1,1,0,0
8/312/7,381400,513000,172,0,1332,2,0
8/312/36,381200,512300,180,0,181,0,0
8/322/32,367968,527142,52,0,919,0,0
8/322/53,368100,522400,417,0,1040,0,0
8/322/86,368051,523318,0,0,113,0,0
8/333/9,372300,518800,102,0,2094,0,0
8/333/21,372600,515800,52,0,237,0,0
8/333/24,373300,513800,22,0,333,0,0
4/756/65,465900,516600,99,1,570,0,0
8/139/343,371500,541000,0,1,0,0,0
8/139/350,376600,545000,0,0,5,0,0
8/139/9069,375700,547500,36,0,508,0,0
8/145/33,361500,532100,700,0,0,0,0
8/145/53,362686,531859,0,0,13,0,0
4/557/42,445300,532700,32,1,1,0,0
8/391/44,364012,521808,59,0,280,0,0
8/775/3,363600,493400,66,0,0,0,0
8/775/28,365200,492300,23,0,381,0,0
8/159/140,363345,545044,7,1,3,0,0
8/395/130,364200,517300,11,1,6,0,0
12/60/9014,442649,543996,55,0,0,0,0
12/68/12,440448,540188,261,0,187,0,0
12/82/11,426000,516600,0,0,469,0,0
12/116/101,421300,541800,4,0,526,0,0
12/120/25,433585,537751,104,1,117,0,0
12/126/14,427963,538563,10,25,103,0,0
12/186/16,415900,547500,0,0,11,0,0
12/210/2,392600,547000,46,0,1833,0,0
12/213/53,435900,521300,6,0,68,0,0
12/234/31,436000,533600,9,0,0,0,0
12/273/65,398500,537400,35,0,258,0,0
12/273/124,392800,537300,7,0,124,0,0
48/68/5,425700,497900,95,59,1,0,0
12/273/9037,434600,520300,0,2,13,2,0
4/623/59,441227,511951,0,0,0,2,0
4/623/62,441427,511373,0,0,0,11,0
31/238/44,414853,583767,162,1,89,0,0
31/337/7001,395549,566781,278,1,2252,0,0
31/338/126,381865,556796,9,2,958,0,0
31/411/96,379500,547300,12,2,128,0,0
31/414/51,407400,552900,6,1,1,0,0
48/369/9003,398000,497700,0,0,325,0,0
31/530/5000,406441,574558,175,1,3,0,0
31/530/7001,407900,571900,39,1,264,0,0
31/193/58,410100,581400,0,0,0,11,0
31/241/102,420533,585061,0,0,0,5,0
31/241/5004,420094,587430,0,0,0,2,0
31/347/89,405655,561272,0,0,0,3,0
48/311/13,442559,505478,0,0,0,2,0
48/356/49,409352,507132,0,0,0,5,0
48/373/9024,412849,502222,0,0,0,1,0
48/379/38,415278,505950,0,0,0,11,0
48/449/102,447600,502200,0,0,0,2,0
48/467/6,479800,491600,0,0,0,3,0
48/18/9007,445600,497100,26,1,20,0,0
48/20/8,435071,491526,4,2,7,0,0
48/24/52,439900,502000,50,1,19,0,0
48/24/53,439800,503300,1,20,1,0,0
48/24/55,439508,501298,1,4,46,0,0
48/24/5000,439524,501128,44,1,2,0,0
48/24/7000,438679,503165,1,1,89,0,0
48/130/78,427592,494053,8,2,167,0,0
48/454/7003,478096,493495,52,3,1,0,0
48/456/9000,470500,497700,3,2,12,0,0
48/501/7001,489300,510300,9,2,91,0,0
8/333/30,374000,513900,1,1,101,0,0
12/120/26,431572,536098,256,4,176,12,0
